year,team,talent
2015,Alabama,981.9
2015,USC,926.71
2015,Ohio State,907.32
2015,Florida State,889.92
2015,LSU,889.37
2015,Georgia,877.74
2015,Auburn,865.41
2015,Notre Dame,857.33
2015,Michigan,851.12
2015,Texas A&M,830.34
2015,Texas,821.26
2015,Tennessee,810.53
2015,Clemson,807.56
2015,UCLA,793.22
2015,Florida,789.79
2015,Oklahoma,775.9
2015,Miami,773.23
2015,Stanford,765.98
2015,Ole Miss,764.34
2015,Oregon,757.52
2015,Penn State,732.36
2015,South Carolina,725.72
2015,Michigan State,715.3
2015,Nebraska,699.89
2015,Arkansas,695.04
2015,North Carolina,683.03
2015,Arizona State,680.87
2015,Mississippi State,680.06
2015,Washington,667.45
2015,Virginia,667.05
2015,Baylor,660.35
2015,Virginia Tech,658.38
2015,Oklahoma State,651.83
2015,Missouri,642.93
2015,Texas Tech,641.07
2015,Louisville,641.05
2015,Wisconsin,635.77
2015,Kentucky,634.52
2015,TCU,630.38
2015,California,626.0
2015,West Virginia,625.85
2015,Pittsburgh,611.18
2015,NC State,610.33
2015,Vanderbilt,609.76
2015,Arizona,606.92
2015,Maryland,603.76
2015,Rutgers,602.35
2015,Northwestern,595.75
2015,Georgia Tech,590.34
2015,Utah,574.41
2015,Iowa,573.06
2015,Boise State,568.96
2015,Duke,563.19
2015,Indiana,559.08
2015,Oregon State,544.66
2015,Colorado,542.06
2015,Washington State,540.86
2015,Boston College,534.6
2015,Purdue,534.26
2015,Illinois,530.96
2015,South Florida,529.65
2015,Iowa State,529.12
2015,BYU,521.43
2015,Minnesota,516.1
2015,Houston,511.45
2015,Syracuse,508.8
2015,Kansas State,503.64
2015,Kansas,499.97
2015,Wake Forest,497.48
2015,San Diego State,494.77
2015,Cincinnati,494.65
2015,Marshall,489.77
2015,UCF,484.54
2015,Southern Miss,470.84
2015,SMU,446.83
2015,Western Michigan,442.13
2015,Louisiana Tech,437.99
2015,Bowling Green,433.59
2015,Louisiana,430.17
2015,Toledo,429.03
2015,Akron,412.65
2015,Middle Tennessee,409.82
2015,Tulane,408.22
2015,Arkansas State,408.08
2015,Temple,405.92
2015,Tulsa,404.03
2015,East Carolina,403.62
2015,Fresno State,402.58
2015,UConn,402.23
2015,Florida Atlantic,401.61
2015,Rice,399.58
2015,Miami (OH),397.13
2015,Georgia Southern,391.18
2015,Colorado State,389.1
2015,Hawai'i,385.63
2015,Memphis,381.8
2015,North Texas,380.69
2015,Northern Illinois,380.69
2015,Nevada,380.53
2015,San José State,379.6
2015,Central Michigan,376.81
2015,South Alabama,367.16
2015,Texas State,360.49
2015,Florida International,360.11
2015,UTSA,356.37
2015,Western Kentucky,353.5
2015,Ball State,349.94
2015,New Mexico,341.72
2015,Eastern Michigan,341.36
2015,Kent State,338.4
2015,Georgia State,335.67
2015,Troy,335.43
2015,UNLV,332.69
2015,Utah State,331.44
2015,Ohio,330.61
2015,Massachusetts,323.73
2015,Old Dominion,319.6
2015,Buffalo,316.44
2015,Wyoming,314.72
2015,App State,312.88
2015,Navy,306.87
2015,Charlotte,304.05
2015,UL Monroe,292.73
2015,Idaho,262.39
2015,UTEP,256.12
2015,New Mexico State,251.16
2015,UAB,236.34
2015,Northern Iowa,202.77
2015,Army,186.45
2015,Yale,181.76
2015,Jacksonville State,173.32
2015,Chattanooga,137.06
2015,Portland State,123.61
2015,Youngstown State,116.79
2015,Bethune-Cookman,116.09
2015,South Carolina State,105.01
2015,Stephen F. Austin,103.72
2015,Cal Poly,97.73
2015,Samford,95.68
2015,Illinois State,92.42
2015,Murray State,89.72
2015,James Madison,84.74
2015,North Dakota State,82.26
2015,Jackson State,78.26
2015,Indiana State,74.6
2015,Tennessee State,74.37
2015,Towson,74.05
2015,Pennsylvania,73.07
2015,Air Force,70.95
2015,Northern Arizona,68.35
2015,Abilene Christian,66.43
2015,Montana,64.46
2015,Wagner,64.14
2015,UT Martin,62.12
2015,Stony Brook,61.96
2015,Furman,61.89
2015,Southern Illinois,60.76
2015,Hampton,58.39
2015,SE Louisiana,58.08
2015,Villanova,57.42
2015,Valparaiso,56.37
2015,Western Illinois,51.28
2015,McNeese,51.19
2015,Duquesne,50.43
2015,Charleston Southern,48.43
2015,The Citadel,47.12
2015,Eastern Illinois,46.56
2015,Eastern Kentucky,46.5
2015,Richmond,46.34
2015,Eastern Washington,45.1
2015,Texas Southern,43.1
2015,Grambling,41.62
2015,Coastal Carolina,41.5
2015,Houston Christian,39.71
2015,Southern,37.48
2015,Sacramento State,37.46
2015,Rhode Island,37.17
2015,Austin Peay,36.99
2015,Fordham,36.98
2015,Northern Colorado,36.95
2015,Central Arkansas,35.29
2015,Mercer,35.02
2015,Norfolk State,32.59
2015,Tennessee Tech,31.74
2015,VMI,31.43
2015,Campbell,31.21
2015,Harvard,30.49
2015,Southeast Missouri State,29.79
2015,Cornell,29.11
2015,Northwestern State,28.02
2015,Presbyterian,25.63
2015,Delaware State,25.26
2015,South Dakota State,25.25
2015,Lamar,24.84
2015,Nicholls,24.71
2015,Alabama State,24.46
2015,Kennesaw State,23.49
2015,Idaho State,21.69
2015,Columbia,21.24
2015,New Hampshire,21.17
2015,Prairie View A&M,20.76
2015,East Tennessee State,20.07
2015,Weber State,19.8
2015,Liberty,19.57
2015,Wofford,19.48
2015,Jacksonville,18.58
2015,Brown,16.92
2015,Western Carolina,15.77
2015,Davidson,15.67
2015,William & Mary,15.65
2015,Florida A&M,15.6
2015,Incarnate Word,15.59
2015,North Carolina Central,14.26
2015,Alabama A&M,13.33
2015,Montana State,11.86
2015,Butler,9.96
2015,Gardner-Webb,8.58
2015,Monmouth,7.93
2015,Holy Cross,7.45
2015,Drake,7.43
2015,Maine,7.24
2015,Lehigh,6.66
2015,Southern Utah,6.66
2015,Stetson,6.66
2015,UC Davis,6.66
2015,Arkansas-Pine Bluff,6.66
2015,South Dakota,3.36
2015,Robert Morris,3.06
2015,Dartmouth,2.96
2015,Marist,2.63
2015,Howard,2.22
2015,St. Francis (PA),1.74
2016,Alabama,982.66
2016,USC,936.86
2016,LSU,917.72
2016,Florida State,906.64
2016,Ohio State,902.46
2016,Georgia,872.0
2016,Auburn,865.36
2016,Michigan,852.78
2016,Clemson,846.0
2016,Notre Dame,842.35
2016,Texas,838.97
2016,UCLA,819.16
2016,Texas A&M,814.63
2016,Tennessee,813.92
2016,Ole Miss,808.15
2016,Florida,798.44
2016,Stanford,778.45
2016,Oklahoma,777.48
2016,Miami,745.93
2016,Penn State,742.52
2016,Oregon,738.29
2016,Michigan State,719.7
2016,South Carolina,706.9
2016,Washington,699.64
2016,Arizona State,694.21
2016,Nebraska,691.61
2016,Arkansas,689.41
2016,Mississippi State,679.14
2016,North Carolina,669.61
2016,TCU,665.53
2016,West Virginia,654.64
2016,Louisville,654.13
2016,Kentucky,652.07
2016,Maryland,651.99
2016,Pittsburgh,649.85
2016,Virginia Tech,646.82
2016,Wisconsin,643.76
2016,Missouri,633.76
2016,Oklahoma State,631.68
2016,Baylor,619.18
2016,Vanderbilt,619.03
2016,Virginia,618.91
2016,Arizona,616.31
2016,NC State,616.29
2016,Northwestern,613.55
2016,Texas Tech,604.93
2016,California,601.17
2016,Duke,599.82
2016,Rutgers,585.47
2016,Georgia Tech,582.55
2016,Utah,580.07
2016,Houston,572.7
2016,Indiana,565.47
2016,South Florida,563.99
2016,Iowa,558.73
2016,Iowa State,552.17
2016,Boise State,548.82
2016,Cincinnati,541.58
2016,Minnesota,535.44
2016,Boston College,533.39
2016,BYU,529.05
2016,Colorado,526.39
2016,Oregon State,524.89
2016,Illinois,523.91
2016,Washington State,522.58
2016,Syracuse,520.26
2016,Wake Forest,517.63
2016,Purdue,512.72
2016,UCF,510.27
2016,Kansas State,505.29
2016,Temple,492.72
2016,Kansas,491.0
2016,Marshall,485.46
2016,San Diego State,482.31
2016,SMU,474.03
2016,Arkansas State,471.45
2016,Toledo,460.86
2016,Louisiana Tech,451.38
2016,Memphis,451.24
2016,Akron,443.73
2016,Western Michigan,443.16
2016,East Carolina,442.26
2016,Southern Miss,441.29
2016,San José State,437.36
2016,Middle Tennessee,436.6
2016,Georgia Southern,435.33
2016,UConn,423.56
2016,Louisiana,421.37
2016,Miami (OH),418.04
2016,Colorado State,412.28
2016,Tulsa,409.17
2016,Florida Atlantic,408.4
2016,Fresno State,404.97
2016,Northern Illinois,403.27
2016,Western Kentucky,401.82
2016,UTSA,397.64
2016,Rice,394.83
2016,Bowling Green,392.66
2016,Central Michigan,391.81
2016,Troy,390.47
2016,Nevada,389.56
2016,South Alabama,389.36
2016,Tulane,388.04
2016,New Mexico,387.26
2016,Hawai'i,384.97
2016,UNLV,376.26
2016,Ohio,372.56
2016,Massachusetts,370.9
2016,Ball State,365.94
2016,Florida International,362.84
2016,Utah State,357.13
2016,Texas State,351.76
2016,North Texas,351.58
2016,Eastern Michigan,347.7
2016,Old Dominion,347.2
2016,Buffalo,343.64
2016,Navy,342.77
2016,Kent State,334.01
2016,App State,333.36
2016,Charlotte,330.55
2016,UL Monroe,322.82
2016,Georgia State,321.79
2016,Wyoming,316.18
2016,UTEP,290.4
2016,New Mexico State,267.66
2016,Idaho,256.78
2016,Jacksonville State,254.26
2016,Eastern Kentucky,184.88
2016,Yale,165.17
2016,Northern Iowa,164.16
2016,Portland State,154.68
2016,Army,131.74
2016,Youngstown State,130.84
2016,James Madison,128.58
2016,Southern Illinois,123.69
2016,SE Louisiana,121.61
2016,Chattanooga,119.2
2016,Eastern Illinois,119.04
2016,Wagner,118.43
2016,Stony Brook,118.15
2016,Duquesne,116.15
2016,UT Martin,107.98
2016,Northern Arizona,104.38
2016,Illinois State,102.21
2016,Hampton,99.46
2016,Towson,95.18
2016,Samford,94.57
2016,Grambling,93.31
2016,Cal Poly,91.73
2016,Nicholls,89.59
2016,Jackson State,86.85
2016,Montana,83.1
2016,North Dakota State,81.65
2016,Stephen F. Austin,80.33
2016,Western Illinois,78.62
2016,Southeast Missouri State,76.33
2016,South Carolina State,75.71
2016,Coastal Carolina,71.67
2016,McNeese,69.85
2016,Southern Utah,68.79
2016,Prairie View A&M,67.68
2016,Norfolk State,67.07
2016,Furman,66.86
2016,Charleston Southern,65.6
2016,Montana State,64.33
2016,Bethune-Cookman,63.39
2016,Murray State,62.79
2016,Central Arkansas,62.11
2016,Houston Christian,61.17
2016,Pennsylvania,60.95
2016,Mercer,57.71
2016,Kennesaw State,54.76
2016,Weber State,54.68
2016,Alabama State,53.46
2016,Tennessee Tech,53.0
2016,Richmond,51.95
2016,Tennessee State,51.82
2016,Southern,46.97
2016,Sacramento State,45.18
2016,Eastern Washington,45.1
2016,Austin Peay,44.67
2016,Air Force,44.58
2016,Texas Southern,43.86
2016,Lamar,43.84
2016,Indiana State,43.84
2016,William & Mary,43.54
2016,Presbyterian,41.4
2016,Rhode Island,41.24
2016,Campbell,40.68
2016,Alcorn State,39.3
2016,The Citadel,37.64
2016,Fordham,36.98
2016,Princeton,36.73
2016,Monmouth,35.77
2016,South Dakota,32.89
2016,Northwestern State,32.06
2016,VMI,31.43
2016,East Tennessee State,31.35
2016,Valparaiso,29.84
2016,Northern Colorado,29.66
2016,Drake,27.37
2016,Robert Morris,26.7
2016,Alabama A&M,26.31
2016,Idaho State,25.18
2016,Villanova,23.98
2016,Savannah St,23.51
2016,Maine,23.37
2016,Delaware State,22.84
2016,Gardner-Webb,22.66
2016,Butler,21.56
2016,Columbia,21.24
2016,Liberty,21.04
2016,Abilene Christian,19.77
2016,Wofford,19.48
2016,Sacred Heart,19.44
2016,Harvard,17.28
2016,Brown,16.92
2016,Florida A&M,16.64
2016,Cornell,15.89
2016,Dayton,14.99
2016,Holy Cross,14.75
2016,Western Carolina,13.67
2016,Jacksonville,13.41
2016,North Carolina Central,13.15
2016,Missouri State,12.7
2016,Georgetown,12.6
2016,New Hampshire,11.21
2016,Stetson,9.99
2016,Howard,7.53
2016,Lehigh,6.66
2016,San Diego,6.66
2016,Arkansas-Pine Bluff,6.66
2016,Central Connecticut,6.66
2016,Morehead State,6.66
2016,Bryant,6.24
2016,North Carolina A&T,3.81
2016,St. Francis (PA),1.74
2017,Alabama,997.57
2017,Ohio State,959.12
2017,USC,934.0
2017,Georgia,930.34
2017,Florida State,924.97
2017,LSU,907.1
2017,Michigan,874.28
2017,Auburn,867.43
2017,Clemson,853.65
2017,Notre Dame,837.71
2017,UCLA,830.58
2017,Tennessee,817.34
2017,Texas,811.03
2017,Stanford,810.31
2017,Texas A&M,807.27
2017,Oklahoma,801.67
2017,Ole Miss,795.7
2017,Florida,793.83
2017,Penn State,779.26
2017,Miami,749.08
2017,Arizona State,720.44
2017,Oregon,720.23
2017,Arkansas,717.01
2017,Washington,706.52
2017,South Carolina,702.52
2017,Mississippi State,701.06
2017,North Carolina,697.54
2017,Maryland,696.21
2017,Nebraska,693.46
2017,Michigan State,680.94
2017,TCU,672.81
2017,Kentucky,671.45
2017,Virginia Tech,662.18
2017,Pittsburgh,660.36
2017,Baylor,657.22
2017,Louisville,640.98
2017,Wisconsin,639.76
2017,Oklahoma State,633.57
2017,Utah,630.95
2017,Duke,627.62
2017,Northwestern,627.54
2017,Missouri,623.33
2017,West Virginia,613.18
2017,NC State,609.76
2017,Vanderbilt,607.68
2017,Arizona,607.31
2017,Virginia,603.88
2017,California,603.06
2017,Iowa,592.95
2017,Texas Tech,574.93
2017,Rutgers,574.78
2017,Georgia Tech,574.35
2017,BYU,574.09
2017,UCF,571.52
2017,Colorado,568.59
2017,Iowa State,559.34
2017,Houston,558.72
2017,Oregon State,557.02
2017,South Florida,554.17
2017,Washington State,549.42
2017,Indiana,547.92
2017,Minnesota,543.8
2017,Syracuse,539.6
2017,Illinois,538.83
2017,Boston College,535.21
2017,Wake Forest,527.21
2017,Kansas State,517.85
2017,Kansas,512.24
2017,Memphis,504.49
2017,Purdue,502.71
2017,Boise State,501.53
2017,Cincinnati,500.95
2017,SMU,492.63
2017,East Carolina,471.1
2017,Florida Atlantic,470.88
2017,Temple,468.29
2017,Marshall,445.48
2017,Colorado State,441.98
2017,Arkansas State,436.05
2017,Tulsa,422.77
2017,UConn,420.17
2017,San Diego State,419.43
2017,Western Michigan,414.35
2017,Miami (OH),413.24
2017,Tulane,396.43
2017,Louisiana Tech,394.31
2017,Southern Miss,394.24
2017,South Alabama,387.88
2017,Central Michigan,387.2
2017,San José State,378.56
2017,Navy,376.2
2017,Fresno State,374.63
2017,Northern Illinois,373.99
2017,Massachusetts,367.59
2017,Toledo,366.47
2017,Georgia Southern,365.57
2017,Georgia State,364.16
2017,Bowling Green,361.82
2017,Troy,352.1
2017,Rice,345.79
2017,Middle Tennessee,344.65
2017,New Mexico,344.64
2017,Nevada,341.11
2017,Akron,337.11
2017,App State,335.87
2017,Florida International,334.18
2017,Western Kentucky,332.17
2017,Old Dominion,331.2
2017,UNLV,331.18
2017,Hawai'i,330.56
2017,Utah State,330.2
2017,Louisiana,329.24
2017,Ohio,326.14
2017,Ball State,318.17
2017,UL Monroe,303.96
2017,North Texas,303.13
2017,Buffalo,294.08
2017,Eastern Michigan,292.11
2017,UTSA,291.62
2017,Kent State,288.56
2017,Charlotte,283.01
2017,Wyoming,277.07
2017,Texas State,274.67
2017,UTEP,264.42
2017,New Mexico State,233.47
2017,Idaho,184.75
2017,James Madison,179.5
2017,UAB,170.05
2017,Portland State,147.63
2017,Coastal Carolina,119.43
2017,Stony Brook,111.94
2017,Towson,106.93
2017,Army,88.72
2017,Montana,80.03
2017,Cal Poly,76.98
2017,Charleston Southern,72.38
2017,Richmond,71.64
2017,Kennesaw State,70.97
2017,Northern Arizona,69.2
2017,Rhode Island,65.72
2017,Weber State,51.74
2017,Sacramento State,46.67
2017,William & Mary,40.05
2017,Maine,38.99
2017,Southern Utah,33.11
2017,Northern Colorado,32.58
2017,Montana State,26.4
2017,Gardner-Webb,23.01
2017,Monmouth,21.44
2017,Air Force,21.1
2017,Eastern Washington,19.95
2017,Liberty,19.85
2017,Idaho State,15.22
2017,Presbyterian,14.91
2017,Elon,13.41
2017,Villanova,11.65
2017,New Hampshire,11.21
2018,Ohio State,984.3
2018,Alabama,978.54
2018,Georgia,964.0
2018,USC,933.65
2018,Clemson,893.21
2018,LSU,889.91
2018,Florida State,888.75
2018,Michigan,862.35
2018,Texas,861.2
2018,Notre Dame,847.85
2018,Oklahoma,843.79
2018,Penn State,834.24
2018,Florida,831.78
2018,Auburn,827.37
2018,Tennessee,826.98
2018,Texas A&M,805.66
2018,Stanford,786.63
2018,Washington,772.88
2018,UCLA,754.31
2018,Miami,753.72
2018,South Carolina,749.98
2018,Ole Miss,734.0
2018,Mississippi State,729.97
2018,Maryland,725.94
2018,Nebraska,711.22
2018,Oregon,695.81
2018,Arkansas,694.63
2018,North Carolina,688.48
2018,Arizona State,687.72
2018,Virginia Tech,675.71
2018,TCU,671.88
2018,Kentucky,670.27
2018,Baylor,668.37
2018,Michigan State,658.85
2018,Wisconsin,653.5
2018,West Virginia,646.91
2018,Oklahoma State,645.01
2018,Pittsburgh,637.96
2018,Duke,635.63
2018,Louisville,632.22
2018,NC State,629.39
2018,Iowa,615.08
2018,Vanderbilt,611.99
2018,Northwestern,608.89
2018,California,596.08
2018,Missouri,595.14
2018,Utah,594.6
2018,Minnesota,588.97
2018,Georgia Tech,583.49
2018,Arizona,580.54
2018,Houston,577.17
2018,Iowa State,575.76
2018,Colorado,575.65
2018,Syracuse,570.2
2018,UCF,568.35
2018,BYU,565.85
2018,Indiana,564.04
2018,Illinois,562.67
2018,Texas Tech,561.59
2018,Rutgers,555.24
2018,Washington State,554.77
2018,South Florida,548.62
2018,Kansas State,547.43
2018,Cincinnati,543.78
2018,Boise State,543.43
2018,Virginia,542.4
2018,Florida Atlantic,537.93
2018,Oregon State,535.36
2018,Boston College,533.43
2018,Wake Forest,525.48
2018,Purdue,520.48
2018,Kansas,517.1
2018,SMU,485.46
2018,Memphis,480.07
2018,Colorado State,479.97
2018,Temple,478.3
2018,Louisiana Tech,477.5
2018,Florida International,476.52
2018,San Diego State,472.6
2018,Toledo,463.96
2018,Fresno State,459.07
2018,Marshall,451.61
2018,Tulane,445.36
2018,Western Michigan,442.29
2018,East Carolina,434.48
2018,Arkansas State,433.73
2018,Nevada,432.4
2018,Northern Illinois,432.31
2018,San José State,430.62
2018,Miami (OH),421.22
2018,Middle Tennessee,414.19
2018,Central Michigan,413.6
2018,New Mexico,411.95
2018,UTSA,405.2
2018,Georgia State,404.34
2018,UNLV,400.76
2018,South Alabama,394.24
2018,UConn,389.2
2018,Massachusetts,388.91
2018,UAB,387.71
2018,Southern Miss,387.32
2018,Utah State,377.39
2018,Louisiana,376.68
2018,Bowling Green,375.14
2018,Rice,375.12
2018,Buffalo,369.14
2018,North Texas,368.58
2018,Tulsa,368.14
2018,Ball State,362.1
2018,Akron,361.0
2018,App State,356.16
2018,Western Kentucky,353.43
2018,Troy,352.36
2018,Kent State,351.73
2018,Navy,349.26
2018,Wyoming,348.34
2018,Ohio,346.18
2018,UTEP,345.76
2018,Eastern Michigan,344.06
2018,Hawai'i,343.97
2018,Old Dominion,333.18
2018,UL Monroe,326.66
2018,Charlotte,311.0
2018,Georgia Southern,303.12
2018,Texas State,302.55
2018,Coastal Carolina,284.24
2018,New Mexico State,249.32
2018,Army,230.75
2018,Air Force,186.27
2018,Jacksonville State,174.86
2018,Hampton,149.11
2018,James Madison,147.11
2018,SE Louisiana,135.64
2018,Sam Houston,133.13
2018,Sam Houston,133.13
2018,Austin Peay,123.4
2018,Alabama State,118.68
2018,Duquesne,113.21
2018,Chattanooga,112.15
2018,Illinois State,109.44
2018,Southern Illinois,108.59
2018,Eastern Kentucky,107.58
2018,Stony Brook,106.51
2018,Montana State,98.98
2018,UT Martin,98.34
2018,Liberty,93.99
2018,Idaho,87.35
2018,Kennesaw State,86.45
2018,Portland State,85.83
2018,Northern Arizona,85.03
2018,Samford,84.29
2018,North Dakota State,83.68
2018,Towson,83.58
2018,Texas Southern,83.08
2018,Tennessee State,82.27
2018,Richmond,82.2
2018,Delaware,79.23
2018,Youngstown State,70.45
2018,Grambling,69.99
2018,Southeast Missouri State,69.85
2018,Western Illinois,66.84
2018,Nicholls,66.08
2018,Rhode Island,62.64
2018,Bethune-Cookman,61.9
2018,Furman,59.57
2018,Campbell,58.46
2018,Norfolk State,56.44
2018,Missouri State,53.43
2018,Weber State,51.74
2018,Charleston Southern,51.01
2018,Montana,49.16
2018,Prairie View A&M,47.1
2018,Stephen F. Austin,46.25
2018,McNeese,43.55
2018,Abilene Christian,43.1
2018,North Carolina A&T,39.98
2018,Florida A&M,39.57
2018,Murray State,37.82
2018,Cal Poly,37.28
2018,Western Carolina,35.54
2018,Morgan State,35.38
2018,East Tennessee State,35.09
2018,Northern Iowa,34.7
2018,Wagner,32.77
2018,UAlbany,31.53
2018,Butler,31.53
2018,North Carolina Central,31.0
2018,North Alabama,30.02
2018,The Citadel,29.01
2018,South Dakota State,28.73
2018,William & Mary,28.69
2018,Monmouth,28.13
2018,Tennessee Tech,27.77
2018,Princeton,27.29
2018,South Carolina State,27.01
2018,Houston Christian,26.8
2018,Bryant,24.33
2018,North Dakota,23.99
2018,Indiana State,23.88
2018,Central Arkansas,23.59
2018,Incarnate Word,23.03
2018,South Dakota,22.43
2018,Southern,22.25
2018,Delaware State,21.32
2018,Northwestern State,20.95
2018,Idaho State,20.5
2018,Sacramento State,20.45
2018,Alcorn State,20.41
2018,Eastern Washington,19.95
2018,Sacred Heart,19.62
2018,Maine,18.93
2018,Howard,17.6
2018,Jacksonville,17.49
2018,Fordham,15.33
2018,Jackson State,14.46
2018,Gardner-Webb,14.11
2018,Mercer,13.96
2018,Lamar,13.91
2018,Cornell,13.71
2018,Northern Colorado,13.41
2018,Stetson,13.33
2018,Harvard,13.33
2018,St. Francis (PA),13.0
2018,VMI,11.9
2018,Southern Utah,11.84
2018,Drake,11.1
2018,Georgetown,11.1
2018,Robert Morris,9.24
2018,Arkansas-Pine Bluff,8.98
2018,Dayton,8.88
2018,Holy Cross,7.31
2018,Central Connecticut,7.09
2018,Eastern Illinois,6.75
2018,Lehigh,6.66
2018,Elon,6.66
2018,Marist,4.44
2018,Yale,3.3
2019,Alabama,984.96
2019,Ohio State,973.56
2019,Georgia,960.16
2019,USC,915.56
2019,LSU,906.17
2019,Florida State,878.07
2019,Texas,877.91
2019,Oklahoma,869.53
2019,Clemson,863.03
2019,Penn State,857.34
2019,Michigan,853.4
2019,Texas A&M,848.89
2019,Auburn,843.93
2019,Notre Dame,843.29
2019,Florida,835.68
2019,Tennessee,830.34
2019,Oregon,817.7
2019,Miami,815.12
2019,Washington,801.33
2019,Stanford,787.59
2019,South Carolina,762.68
2019,UCLA,741.4
2019,Mississippi State,732.68
2019,Nebraska,729.47
2019,Ole Miss,717.92
2019,Arkansas,707.72
2019,Maryland,703.94
2019,North Carolina,697.75
2019,Virginia Tech,696.39
2019,TCU,691.63
2019,Michigan State,688.74
2019,Arizona State,686.44
2019,Wisconsin,675.8
2019,Kentucky,672.74
2019,Baylor,668.9
2019,NC State,668.85
2019,Illinois,661.73
2019,Louisville,645.84
2019,Oklahoma State,644.42
2019,Missouri,642.83
2019,West Virginia,639.11
2019,Pittsburgh,637.95
2019,Iowa,637.65
2019,Duke,633.24
2019,Georgia Tech,629.1
2019,Minnesota,621.36
2019,Utah,620.35
2019,Colorado,614.27
2019,Northwestern,612.62
2019,California,611.58
2019,Purdue,607.4
2019,Vanderbilt,605.06
2019,Indiana,603.81
2019,UCF,598.57
2019,Houston,597.62
2019,Iowa State,597.15
2019,Oregon State,595.5
2019,Rutgers,587.28
2019,Virginia,580.28
2019,Texas Tech,577.21
2019,Cincinnati,576.61
2019,Syracuse,574.82
2019,Arizona,570.07
2019,SMU,565.15
2019,Boston College,564.95
2019,Wake Forest,563.24
2019,Boise State,561.42
2019,BYU,560.78
2019,South Florida,559.66
2019,Washington State,556.27
2019,Memphis,551.97
2019,Kansas State,543.49
2019,Florida International,532.88
2019,Kansas,528.62
2019,Florida Atlantic,524.02
2019,Colorado State,518.83
2019,San Diego State,504.19
2019,Louisiana Tech,501.25
2019,Marshall,489.63
2019,Temple,489.03
2019,Tulane,486.98
2019,Western Kentucky,486.97
2019,Fresno State,482.79
2019,UTSA,471.36
2019,East Carolina,468.23
2019,UNLV,462.72
2019,Nevada,461.96
2019,North Texas,457.24
2019,Southern Miss,456.29
2019,Western Michigan,452.05
2019,Toledo,451.43
2019,Middle Tennessee,450.79
2019,Arkansas State,447.87
2019,UAB,441.81
2019,San José State,433.33
2019,Tulsa,424.54
2019,Utah State,424.16
2019,Hawai'i,420.99
2019,Central Michigan,416.63
2019,UConn,412.55
2019,App State,412.32
2019,Georgia Southern,411.8
2019,Louisiana,406.49
2019,New Mexico,401.9
2019,Northern Illinois,397.98
2019,Wyoming,397.9
2019,Rice,397.04
2019,Troy,388.67
2019,Charlotte,386.38
2019,South Alabama,381.38
2019,Old Dominion,374.74
2019,Georgia State,369.05
2019,Miami (OH),359.14
2019,Massachusetts,358.88
2019,UTEP,355.31
2019,Texas State,348.47
2019,UL Monroe,346.03
2019,Ohio,337.17
2019,Navy,335.4
2019,Ball State,327.92
2019,Eastern Michigan,317.49
2019,Bowling Green,315.44
2019,Kent State,313.22
2019,Akron,312.81
2019,Coastal Carolina,305.73
2019,Buffalo,284.74
2019,New Mexico State,269.79
2019,Army,265.19
2019,Sam Houston,184.58
2019,SE Louisiana,178.38
2019,Nicholls,155.75
2019,Chattanooga,155.43
2019,Liberty,153.48
2019,Air Force,151.86
2019,Alabama State,136.54
2019,Towson,135.03
2019,Duquesne,129.11
2019,Montana State,120.95
2019,Illinois State,119.34
2019,James Madison,110.76
2019,Jacksonville State,108.58
2019,Hampton,104.67
2019,Samford,97.76
2019,Campbell,96.7
2019,Murray State,96.0
2019,Richmond,95.66
2019,UT Martin,93.72
2019,Tennessee State,92.64
2019,Stephen F. Austin,91.75
2019,Idaho,87.17
2019,Kennesaw State,86.45
